id,word,explanation,due,memory_state,scheduled_days,last_review
100,ロビー,,2025-11-17T01:50:37.421735+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:50:37.421735+00:00
101,確認,,2025-11-17T01:49:21.684120+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:49:21.684120+00:00
102,毒,,2025-11-17T01:46:41.754602+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:46:41.754602+00:00
103,詰める,靠紧,2026-01-04T02:28:11.180865+00:00,"{""stability"": 156.4498, ""difficulty"": 5.2232594}",156,2025-08-01T02:28:11.180865+00:00
104,湿気,,2025-11-17T01:47:59.750567+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:47:59.750567+00:00
105,デザート,,2025-11-17T01:39:34.537348+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:39:34.537348+00:00
106,重大,,2025-11-17T01:49:31.387515+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:49:31.387515+00:00
107,快適,舒服,2026-02-11T08:21:37.356558+00:00,"{""stability"": 216.93155, ""difficulty"": 5.2124}",217,2025-07-09T08:21:37.356558+00:00
108,ジーパン,,2025-11-17T01:40:42.453075+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:40:42.453075+00:00
109,疑問,,2025-11-17T01:35:35.507961+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:35:35.507961+00:00
110,ボーナス,,2025-11-17T01:34:48.945966+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:34:48.945966+00:00
111,一体,,2025-11-17T01:46:54.790472+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:46:54.790472+00:00
112,海,,2025-11-17T01:41:12.996991+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:41:12.996991+00:00
113,昇る,,2025-11-17T01:39:45.779430+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:39:45.779430+00:00
114,握る,,2026-01-08T05:12:08.017747+00:00,"{""stability"": 198.0218, ""difficulty"": 3.6184807}",198,2025-06-24T05:12:08.017747+00:00
115,テント,,2025-11-17T01:30:42.199338+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:30:42.199338+00:00
116,部屋,,2026-01-08T05:10:41.759635+00:00,"{""stability"": 198.0218, ""difficulty"": 3.6184807}",198,2025-06-24T05:10:41.759635+00:00
117,庭園,,2026-01-08T05:11:56.466369+00:00,"{""stability"": 198.0218, ""difficulty"": 3.6184807}",198,2025-06-24T05:11:56.466369+00:00
118,庭,,2025-11-17T01:48:22.572230+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:48:22.572230+00:00
119,居間,,2025-09-15T05:10:58.160002+00:00,"{""stability"": 83.39886, ""difficulty"": 4.5050673}",83,2025-06-24T05:10:58.160002+00:00
120,家,,2025-11-17T01:48:03.519321+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:48:03.519321+00:00
121,椅子,,2025-11-17T01:44:31.208520+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:44:31.208520+00:00
122,机,,2025-11-17T01:29:21.429149+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:29:21.429149+00:00
123,冷蔵庫,,2025-11-17T01:40:11.860139+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:40:11.860139+00:00
124,売り場,柜台,2025-11-17T01:31:07.302403+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:31:07.302403+00:00
125,売店,小卖部/店铺,2027-01-09T06:23:22.995087+00:00,"{""stability"": 513.1157, ""difficulty"": 2.1301212}",513,2025-08-14T06:23:22.995087+00:00
126,受付,接待处,2025-10-05T06:30:26.169703+00:00,"{""stability"": 88.01264, ""difficulty"": 4.313848}",88,2025-07-09T06:30:26.169703+00:00
127,入り口,,2026-02-11T08:21:40.781597+00:00,"{""stability"": 216.93155, ""difficulty"": 5.2124}",217,2025-07-09T08:21:40.781597+00:00
128,一昨日,,2025-11-17T01:28:14.356780+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:28:14.356780+00:00
129,昨日,,2025-11-17T01:40:52.910360+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:40:52.910360+00:00
130,今日,,2025-11-17T01:45:45.254572+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:45:45.254572+00:00
131,明日,,2025-11-17T01:27:39.921877+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:27:39.921877+00:00
132,明後日,,2026-01-02T06:58:48.523722+00:00,"{""stability"": 156.4498, ""difficulty"": 5.2232594}",156,2025-07-30T06:58:48.523722+00:00
133,先週,,2025-08-30T01:58:25.762733+00:00,"{""stability"": 82.011856, ""difficulty"": 4.5000334}",82,2025-06-09T01:58:25.762733+00:00
134,今週,,2025-11-17T01:26:46.689729+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:26:46.689729+00:00
135,来週,,2025-11-17T01:54:51.002761+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:54:51.002761+00:00
136,先月,,2025-11-17T01:46:12.123073+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:46:12.123073+00:00
137,今月,,2025-11-17T01:43:40.698602+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:43:40.698602+00:00
138,来月,,2025-11-17T01:43:58.288764+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:43:58.288764+00:00
139,去年,,2025-11-17T01:34:32.855758+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:34:32.855758+00:00
140,今年,,2025-11-17T01:29:00.207220+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:29:00.207220+00:00
141,来年,,2025-11-17T01:28:47.610218+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:28:47.610218+00:00
142,飛行機,,2025-11-17T01:39:17.295499+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:39:17.295499+00:00
143,日曜日,,2025-11-17T01:29:13.605185+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:29:13.605185+00:00
144,月曜日,,2025-11-17T01:44:17.261014+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:44:17.261014+00:00
145,火曜日,,2025-11-17T01:45:22.010560+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:45:22.010560+00:00
146,水曜日,,2025-11-17T01:31:34.353108+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:31:34.353108+00:00
147,木曜日,,2025-11-17T01:29:25.237114+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:29:25.237114+00:00
148,金曜日,,2025-11-17T01:30:35.161855+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:30:35.161855+00:00
149,土曜日,,2025-11-17T01:50:34.442056+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:50:34.442056+00:00
150,背負う,,2025-09-10T05:18:28.750371+00:00,"{""stability"": 84.25783, ""difficulty"": 5.8714223}",84,2025-06-18T05:18:28.750371+00:00
151,取り扱い,待人接物,2025-09-19T02:13:08.886705+00:00,"{""stability"": 90.645645, ""difficulty"": 6.1596265}",91,2025-06-20T02:13:08.886705+00:00
152,徹夜,,2025-12-31T05:17:35.176955+00:00,"{""stability"": 147.6131, ""difficulty"": 5.8592463}",148,2025-08-05T05:17:35.176955+00:00
153,そういえば,你这么一说,2025-08-30T01:55:49.117032+00:00,"{""stability"": 82.011856, ""difficulty"": 4.5000334}",82,2025-06-09T01:55:49.117032+00:00
154,乾かす,弄干,2026-01-02T06:58:20.786253+00:00,"{""stability"": 156.4498, ""difficulty"": 5.2232594}",156,2025-07-30T06:58:20.786253+00:00
155,犯罪,,2025-11-17T01:49:07.253849+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:49:07.253849+00:00
156,ボリエステル,polyester（涤纶）,2025-11-17T01:51:29.588887+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:51:29.588887+00:00
157,一時,,2025-11-17T01:28:32.243279+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:28:32.243279+00:00
158,そうすると,这么说/那么说,2025-11-17T01:49:53.733058+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:49:53.733058+00:00
159,横断,横穿,2025-12-31T05:17:43.747623+00:00,"{""stability"": 147.6131, ""difficulty"": 5.8592463}",148,2025-08-05T05:17:43.747623+00:00
160,もう少しで,差一点就（坏事）,2025-11-17T01:43:33.467733+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:43:33.467733+00:00
161,スチーム,steam,2025-11-17T01:54:17.330961+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:54:17.330961+00:00
162,支払う,支付,2025-12-31T05:18:10.266596+00:00,"{""stability"": 147.6131, ""difficulty"": 5.8592463}",148,2025-08-05T05:18:10.266596+00:00
163,手,,2025-11-17T01:40:45.748706+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:40:45.748706+00:00
164,借りる,借助,2025-11-17T01:47:09.185382+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:47:09.185382+00:00
165,生き物,,2025-11-17T01:52:03.653345+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:52:03.653345+00:00
166,交流,,2025-11-17T01:45:40.516547+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:45:40.516547+00:00
167,現代,,2025-11-17T01:28:09.595096+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:28:09.595096+00:00
168,駐車,,2025-11-17T01:46:19.526422+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:46:19.526422+00:00
